0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Id,Like to solve complex problems,Like to being center of attention,Try to follow the rules,Fear for the worst,Get Irritated easily,Afraid of doing th wrong thing,Worm up others quickly,Like lots of fun,Able to talk while working,Like to get lost in thoughts, Action while seeing some slovenly cards,Thinking while seeing an ant's queue,Inner thought while seeing a child crying after an accident,Favorite time to solve complex problem,Like to have a pet ,Action while boys making noise,Favorite subject in primary school,Favorite class environment,Favorite teacher's area of teaching,Favorite subject in general,Important supporting factor of story book except story,Most important factor for going school,Most important property of a human,Favorite task before going school,Favorite thing to do in break time,Do you like yourself?,Do you try to lead others?,Do you feel others emotion?,Love to read challenging meterials,Do you believe there is no absolute right or wrong?,Do you dislike talking about yourself?,Do you prefer to isolate yourself from outside noises?,Do you think almost everything can be analyzed?,Do you feel at ease in a crowd?,Are you confortable in social comunication?,Always looking for oppurtunity,Easyly affected by strong emotions,Find it difficult to talk about feelings,Easily understand new theoritical principle,Manage to Stay clam under lots of pressure,Always know what exactly you want,Does your mood changes repidly,Do you feel insecure?,Do you like order or sequence?,Enjoy daydreming,Profession
1,2,0,1,1,1,1,-1,1,-1,1,Keep in pile,Strength,Cure,Night,-1,Make quite,Math,Informative,Programming,Algorithms,Paper,Mindset,Fresh Mind,Relaxing,Play,1,-1,1,1,1,1,1,-1,-1,-1,0,1,1,-1,-1,-1,1,1,1,-1,Software Engineer
2,1,1,1,0,1,1,-1,1,1,1,Ignore,Discipline,Cure,Night,0,Ignore,Science,Informative,Physics,Programming,Paper,Mindset,Fresh Mind,Getting Ready,Rest,1,1,-1,1,0,0,1,0,-1,-1,1,0,1,0,-1,0,1,0,1,0,Software Engineer
3,2,2,0,-1,-1,-1,0,1,1,-1,Ignore,Discipline,Cure,Morning,0,Ignore,Drawing,Funny,AI,Math,Paper,Mindset,Fresh Mind,Eat,Sleep,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,0,-1,1,1,-1,1,1,-1,Software Engineer
4,2,0,2,-1,-1,-1,1,1,1,1,Keep in pile,Discipline,Prevent,Night,-1,Make quite,Literature,Informative,Biology,Math,Paper,Dressed up,Healthy Body,Taking Shower,Sleep,1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,Software Engineer
5,2,1,2,1,0,1,-1,1,1,1,Ignore,Discipline,Cure,Night,0,Make quite,Math,Formal,Literature,Math,Paper,Mindset,Fresh Mind,Taking Shower,Making Fun,1,0,1,1,-1,-1,1,1,-1,-1,1,0,1,0,1,1,-1,1,1,-1,Software Engineer
6,2,0,1,1,1,1,-1,1,1,1,Ignore,Discipline,Prevent,Night,0,Make quite,Math,Funny,Math,Math,Paper,Mindset,Fresh Mind,Relaxing,Rest,0,1,0,1,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,1,1,1,Software Engineer
7,2,0,1,1,-1,1,1,1,-1,1,Make ordered,Discipline,Prevent,Night,1,Ignore,Science,Informative,Physics,Physics,Paper,Mindset,Fresh Mind,Eat,Play,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,-1,1,1,1,Business Job
8,0,2,1,1,-1,-1,1,0,1,1,Make ordered,Count,Cure,Morning,1,Make quite,Science,Informative,Geography,Physics,Font,Mindset,Fresh Mind,Eat,Play,1,1,1,1,-1,-1,-1,1,0,1,1,1,1,0,1,-1,0,-1,1,1,Business Job
9,2,1,1,1,0,1,0,1,-1,1,Ignore,Discipline,Cure,Night,1,Ignore,Literature,Funny,Math,Math,Font,Mindset,Fresh Mind,Eat,Play,1,0,1,1,1,-1,0,-1,1,0,1,1,-1,0,-1,1,1,-1,1,-1,Business Job
